ID,Sales
883,113
884,113
885,113
886,113
887,70
888,70
889,70
890,70
891,70
892,70
893,70
894,70
895,70
896,113
897,113
898,113
899,113
900,113
901,70
902,70
903,70
904,70
905,70
906,70
907,70
908,70
909,70
910,113
911,113
912,113
913,113
914,113
915,70
916,70
917,70
918,70
919,70
920,70
921,70
922,70
923,70
924,113
925,113
926,113
927,113
928,113
929,70
930,70
931,70
932,70
933,70
934,70
935,70
936,70
937,70
938,113
939,113
940,113
941,113
942,113
1825,158
1826,158
1827,85
1828,158
1829,99
1830,99
1831,99
1832,99
1833,99
1834,99
1835,99
1836,99
1837,99
1838,158
1839,158
1840,158
1841,158
1842,158
1843,99
1844,99
1845,99
1846,99
1847,99
1848,99
1849,99
1850,99
1851,99
1852,158
1853,158
1854,158
1855,158
1856,158
1857,99
1858,99
1859,99
1860,99
1861,99
1862,99
1863,99
1864,99
1865,99
1866,158
1867,158
1868,158
1869,158
1870,158
1871,99
1872,99
1873,99
1874,99
1875,99
1876,99
1877,99
1878,99
1879,99
1880,158
1881,158
1882,158
1883,158
1884,158
2767,189
2768,189
2769,189
2770,189
2771,133
2772,133
2773,133
2774,133
2775,133
2776,133
2777,133
2778,133
2779,133
2780,189
2781,189
2782,189
2783,189
2784,189
2785,133
2786,133
2787,133
2788,133
2789,133
2790,133
2791,133
2792,133
2793,133
2794,189
2795,189
2796,189
2797,189
2798,189
2799,133
2800,133
2801,133
2802,133
2803,133
2804,133
2805,133
2806,133
2807,133
2808,189
2809,189
2810,189
2811,189
2812,189
2813,133
2814,133
2815,133
2816,133
2817,133
2818,133
2819,133
2820,133
2821,133
2822,189
2823,189
2824,189
2825,189
2826,189
3709,127
3710,127
3711,127
3712,127
3713,76
3714,76
3715,76
3716,76
3717,76
3718,76
3719,76
3720,76
3721,76
3722,127
3723,127
3724,127
3725,127
3726,127
3727,76
3728,76
3729,76
3730,76
3731,76
3732,76
3733,76
3734,76
3735,76
3736,127
3737,127
3738,127
3739,127
3740,127
3741,76
3742,76
3743,76
3744,76
3745,76
3746,76
3747,76
3748,76
3749,76
3750,127
3751,127
3752,127
3753,127
3754,127
3755,76
3756,76
3757,76
3758,76
3759,76
3760,76
3761,76
3762,76
3763,76
3764,127
3765,127
3766,127
3767,127
3768,127
4651,136
4652,136
4653,103
4654,136
4655,101
4656,101
4657,101
4658,101
4659,101
4660,101
4661,101
4662,101
4663,101
4664,136
4665,136
4666,136
4667,136
4668,136
4669,101
4670,101
4671,101
4672,101
4673,101
4674,101
4675,101
4676,101
4677,101
4678,136
4679,136
4680,136
4681,136
4682,136
4683,101
4684,101
4685,101
4686,101
4687,101
4688,101
4689,101
4690,101
4691,101
4692,136
4693,136
4694,136
4695,136
4696,136
4697,101
4698,101
4699,101
4700,101
4701,101
4702,101
4703,101
4704,101
4705,101
4706,136
4707,136
4708,136
4709,136
4710,136
5593,112
5594,112
5595,112
5596,112
5597,88
5598,88
5599,88
5600,88
5601,88
5602,88
5603,88
5604,88
5605,88
5606,112
5607,112
5608,112
5609,112
5610,112
5611,88
5612,88
5613,88
5614,88
5615,88
5616,88
5617,88
5618,88
5619,88
5620,112
5621,112
5622,112
5623,112
5624,112
5625,88
5626,88
5627,88
5628,88
5629,88
5630,88
5631,88
5632,88
5633,88
5634,112
5635,112
5636,112
5637,112
5638,112
5639,88
5640,88
5641,88
5642,88
5643,88
5644,88
5645,88
5646,88
5647,88
5648,112
5649,112
5650,112
5651,112
5652,112
6535,165
6536,165
6537,165
6538,165
6539,128
6540,128
6541,128
6542,128
6543,128
6544,128
6545,128
6546,128
6547,128
6548,165
6549,165
6550,165
6551,165
6552,165
6553,128
6554,128
6555,128
6556,128
6557,128
6558,128
6559,128
6560,128
6561,128
6562,165
6563,165
6564,165
6565,165
6566,165
6567,128
6568,128
6569,128
6570,128
6571,128
6572,128
6573,128
6574,128
6575,128
6576,165
6577,165
6578,165
6579,165
6580,165
6581,128
6582,128
6583,128
6584,128
6585,128
6586,128
6587,128
6588,128
6589,128
6590,165
6591,165
6592,165
6593,165
6594,165
7477,167
7478,167
7479,167
7480,167
7481,113
7482,113
7483,113
7484,113
7485,113
7486,113
7487,113
7488,113
7489,113
7490,167
7491,167
7492,167
7493,167
7494,167
7495,113
7496,113
7497,113
7498,113
7499,113
7500,113
7501,113
7502,113
7503,113
7504,167
7505,167
7506,167
7507,167
7508,167
7509,113
7510,113
7511,113
7512,113
7513,113
7514,113
7515,113
7516,113
7517,113
7518,167
7519,167
7520,167
7521,167
7522,167
7523,113
7524,113
7525,113
7526,113
7527,113
7528,113
7529,113
7530,113
7531,113
7532,167
7533,167
7534,167
7535,167
7536,167
8235,115
8236,115
8237,67
8238,115
8239,69
8240,69
8241,69
8242,69
8243,69
8244,69
8245,69
8246,69
8247,69
8248,115
8249,115
8250,115
8251,115
8252,115
8253,69
8254,69
8255,69
8256,69
8257,69
8258,69
8259,69
8260,69
8261,69
8262,115
8263,115
8264,115
8265,115
8266,115
8267,69
8268,69
8269,69
8270,69
8271,69
8272,69
8273,69
8274,69
8275,69
8276,115
8277,115
8278,115
8279,115
8280,115
8281,69
8282,69
8283,69
8284,69
8285,69
8286,69
8287,69
8288,69
8289,69
8290,115
8291,115
8292,115
8293,115
8294,115
9177,119
9178,119
9179,66
9180,119
9181,82
9182,82
9183,82
9184,82
9185,82
9186,82
9187,82
9188,82
9189,82
9190,119
9191,119
9192,119
9193,119
9194,119
9195,82
9196,82
9197,82
9198,82
9199,82
9200,82
9201,82
9202,82
9203,82
9204,119
9205,119
9206,119
9207,119
9208,119
9209,82
9210,82
9211,82
9212,82
9213,82
9214,82
9215,82
9216,82
9217,82
9218,119
9219,119
9220,119
9221,119
9222,119
9223,82
9224,82
9225,82
9226,82
9227,82
9228,82
9229,82
9230,82
9231,82
9232,119
9233,119
9234,119
9235,119
9236,119
10119,140
10120,140
10121,140
10122,140
10123,102
10124,102
10125,102
10126,102
10127,102
10128,102
10129,102
10130,102
10131,102
10132,140
10133,140
10134,140
10135,140
10136,140
10137,102
10138,102
10139,102
10140,102
10141,102
10142,102
10143,102
10144,102
10145,102
10146,140
10147,140
10148,140
10149,140
10150,140
10151,102
10152,102
10153,102
10154,102
10155,102
10156,102
10157,102
10158,102
10159,102
10160,140
10161,140
10162,140
10163,140
10164,140
10165,102
10166,102
10167,102
10168,102
10169,102
10170,102
10171,102
10172,102
10173,102
10174,140
10175,140
10176,140
10177,140
10178,140
11061,140
11062,140
11063,140
11064,140
11065,98
11066,98
11067,98
11068,98
11069,98
11070,98
11071,98
11072,98
11073,98
11074,140
11075,140
11076,140
11077,140
11078,140
11079,98
11080,98
11081,98
11082,98
11083,98
11084,98
11085,98
11086,98
11087,98
11088,140
11089,140
11090,140
11091,140
11092,140
11093,98
11094,98
11095,98
11096,98
11097,98
11098,98
11099,98
11100,98
11101,98
11102,140
11103,140
11104,140
11105,140
11106,140
11107,98
11108,98
11109,98
11110,98
11111,98
11112,98
11113,98
11114,98
11115,98
11116,140
11117,140
11118,140
11119,140
11120,140
12003,141
12004,141
12005,84
12006,141
12007,96
12008,96
12009,96
12010,96
12011,96
12012,96
12013,96
12014,96
12015,96
12016,141
12017,141
12018,141
12019,141
12020,141
12021,96
12022,96
12023,96
12024,96
12025,96
12026,96
12027,96
12028,96
12029,96
12030,141
12031,141
12032,141
12033,141
12034,141
12035,96
12036,96
12037,96
12038,96
